"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"Scuola dell'infanzia di Storo";"Scuola dell'Infanzia di Storo";;Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via S Floriano, 22 38089";STORO;0465/898494;;storo.presidente@fpsm.tn.it;;storo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Molina di Ledro";"Scuola dell'Infanzia di Molina di  Ledro";;Paritaria/equiparata;;;"LUISA FONTANARI";"Via Sartori - Molina di Ledro, 24/c 38067";LEDRO;0464/876444;;molina.ledro.presidente@fpsm.tn.it;;molina.ledro.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Vigo Cortesano";"Scuola dell'Infanzia di Vigo Cortesano";;Paritaria/equiparata;;;"CARMEN FATTORI";"Via Madonna Dei Prati, 3 38121";TRENTO;0461/448252;;vigo.meano.presidente@fpsm.tn.it;;vigo.meano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Fondo";"Scuola dell'Infanzia di Fondo";;Paritaria/equiparata;;;"ILARIA MANCINI";"Piazza Don Stefenelli - Fondo, 5 38020";"BORGO D'ANAUNIA";0463-831254;;fondo.presidente@fpsm.tn.it;;fondo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Molina di Ledro";;"Scuola dell'infanzia";Paritaria/equiparata;;;"LUISA FONTANARI";"Via Sartori - Molina di Ledro, 24/c 38067";LEDRO;0464/876444;;molina.ledro.presidente@fpsm.tn.it;;molina.ledro.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Vigo Cortesano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"CARMEN FATTORI";"Via Madonna Dei Prati, 3 38121";TRENTO;0461-448252;;vigo.meano.presidente@fpsm.tn.it;;vigo.meano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Bondone";"Scuola dell'Infanzia di Bondone";;Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via Giusti, 46 38080";BONDONE;0465/898770;;bondone.presidente@fpsm.tn.it;;bondone.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Fondo";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ILARIA MANCINI";"Piazza Don Stefenelli - Fondo, 5 38020";"BORGO D'ANAUNIA";0463-831254;;fondo.presidente@fpsm.tn.it;;fondo.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento  Canossiane";;"Scuola dell'infanzia";Paritaria/equiparata;;;"IVANA LEONARDELLI";"Via Dei Paradisi, 4 38122";TRENTO;0461/231775;;trento.canossiane.segretario@fpsm.tn.it;;trento.canossiane.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Masi di Cavalese";;"Scuola dell'infanzia";Paritaria/equiparata;;;"TIZIANA CEOL";"Via Damiano Chiesa, 79 38033";CAVALESE;0462-340557;;cavalese.presidente@fpsm.tn.it;;cavalese.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Trento  Canossiane";"Scuola dell'Infanzia di Trento  Canossiane";;Paritaria/equiparata;;;"IVANA LEONARDELLI";"Via Dei Paradisi, 4 38122";TRENTO;0461/231775;;trento.canossiane.segretario@fpsm.tn.it;;trento.canossiane.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Bondone";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ALESSANDRA POMILIO";"Via Giusti, 46 38080";BONDONE;0465/898770;;bondone.presidente@fpsm.tn.it;;bondone.segretario@fpsm.tn.it;;
"Circolo di coordinamento n. 3";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"CHIARA NADALON";"Via Gilli, 3 38121";TRENTO;0461/496000;0461/497257;circolo.coordinamento03@provincia.tn.it;;circolo.coordinamento03@provincia.tn.it;;
"Circolo di coordinamento n. 5";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"MARTINA BASSETTI";"Via Gilli, 3 38121";TRENTO;0461/496000;0461/497257;circolo.coordinamento05@provincia.tn.it;;circolo.coordinamento05@provincia.tn.it;;
"Circolo di coordinamento n. 4";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"RITA FERENZENA";"Via Gilli, 3 38121";TRENTO;0461/496000;0461/496950;circolo.coordinamento04@provincia.tn.it;;circolo.coordinamento04@provincia.tn.it;;
"Circolo di coordinamento n. 6";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"VALENTINA RIZZON";"Via Gilli, 3 38121";TRENTO;0461/496000;0461/499283;circolo.coordinamento06@provincia.tn.it;;circolo.coordinamento06@provincia.tn.it;;
"Circolo di coordinamento n. 9";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"MILENA ENDRIZZI";"Viale Trento, 37/E 38068";ROVERETO;0464/493116;0464/493117;circolo.coordinamento09@provincia.tn.it;;circolo.coordinamento09@provincia.tn.it;;
"Circolo di coordinamento n. 9";"Scuola dell'Infanzia di Terragnolo Piazza";;"A carattere statale/provinciale";;;"MILENA ENDRIZZI";"Frazione Piazza di Terragnolo, 14 38060";TERRAGNOLO;"0464 396345";0464/493117;scuolainfanzia.terragnolo@scuole.provincia.tn.it;;circolo.coordinamento09@provincia.tn.it;;
"Circolo di coordinamento n. 9";"Scuola dell'Infanzia di Rovereto Rione Sud  ""Il giardino incantato""";;"A carattere statale/provinciale";;;"MILENA ENDRIZZI";"Via Venezia, 11 38068";ROVERETO;"0464 431163";0464/493117;scuolainfanzia.rionesud@scuole.provincia.tn.it;;circolo.coordinamento09@provincia.tn.it;;
"Circolo di coordinamento n. 9";"Scuola dell'Infanzia di Rovereto San Giorgio   ""Don A. Rossaro""";;"A carattere statale/provinciale";;;"MILENA ENDRIZZI";"Via Telani, 4 38068";ROVERETO;"0464 433713";0464/493117;scuolainfanzia.sangiorgio@scuole.provincia.tn.it;;circolo.coordinamento09@provincia.tn.it;;
"Circolo di coordinamento n. 9";"Scuola dell'Infanzia di Rovereto Lizzana  ""Girogirotondo""";;"A carattere statale/provinciale";;;"MILENA ENDRIZZI";"Via Livenza, 27 38068";ROVERETO;"0464 437839";0464/493117;scuolainfanzia.livenza@scuole.provincia.tn.it;;circolo.coordinamento09@provincia.tn.it;;
"Circolo di coordinamento n. 9";"Scuola dell'Infanzia di Rovereto Fucine";;"A carattere statale/provinciale";;;"MILENA ENDRIZZI";"Via Volta, 1 38068";ROVERETO;0464/420477;0464/493117;scuolainfanzia.fucine@scuole.provincia.tn.it;;circolo.coordinamento09@provincia.tn.it;;
"Scuola dell'infanzia di Madrano";;"Scuola dell'infanzia";Paritaria/equiparata;;;"MARIANGELA SIMONCINI";"Via D Oltrefersina, 54 38057";"PERGINE VALSUGANA";0461/552109;;madrano.segretario@fpsm.tn.it;;madrano.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Pergine  ""G.B. Chimelli""";"Scuola dell'Infanzia di Pergine  ""G.B. Chimelli""";;Paritaria/equiparata;;"Pietro Grigolli";;"Piazza Garbari, 5 38057";"PERGINE VALSUGANA";0461-502351;;asifchimelli@pec.it;;;;
"Scuola dell'infanzia di Pergine  ""G.B. Chimelli""";;"Scuola dell'infanzia";Paritaria/equiparata;;"Pietro Grigolli";;"Piazza Garbari, 5 38057";"PERGINE VALSUGANA";0461/502351;;asifchimelli@pec.it;;;;
"Scuola dell'infanzia di Roncogno di Pergine";"Scuola dell'Infanzia di Roncogno di Pergine";;Paritaria/equiparata;;"PIETRO GRIGOLLI";;"Piazza di S Anna, 3 38057";"PERGINE VALSUGANA";"0461 502351";;asifchimelli@pec.it;;;;
"Circolo di coordinamento n. 9";"Scuola dell'Infanzia di Anghebeni ""Il sorriso di Andrea""";;"A carattere statale/provinciale";;;"MILENA ENDRIZZI";"Frazione Anghebeni, 80/A 38060";VALLARSA;" 0464 869348 ";0464/493117;scuolainfanzia.anghebeni@scuole.provincia.tn.it;;circolo.coordinamento09@provincia.tn.it;;
"Circolo di coordinamento n. 2";"Scuola dell'Infanzia di Villa Agnedo ""Natale Alpino""";;"A carattere statale/provinciale";;;"HELENE GIACOMELLI";"Via Dei Molini - Agnedo, 36 38059";"CASTEL IVANO";0461/762822;"0461 491976";scuolainfanzia.villagnedo@scuole.provincia.tn.it;;circolo.coordinamento02@provincia.tn.it;;
"Circolo di coordinamento n. 9";"Scuola dell'Infanzia di Rovereto Noriglio";;"A carattere statale/provinciale";;;"MILENA ENDRIZZI";"Via Romani, 4 38068";ROVERETO;"0464 437430";0464/493117;scuolainfanzia.noriglio@scuole.provincia.tn.it;;circolo.coordinamento09@provincia.tn.it;;
"Circolo di coordinamento n. 8";"Scuola dell'Infanzia di Riva  ""Rione 2 giugno""";;"A carattere statale/provinciale";;;"MARIA TERESA SCARPELLINI";"Via Cristoph Hartung Von Hartungen, 4 38066";"RIVA DEL GARDA";0464/573920;0461/493389;scuolainfanzia.riva@scuole.provincia.tn.it;;circolo.coordinamento08@provincia.tn.it;;
"Scuola dell'infanzia di Roncogno di Pergine";;"Scuola dell'infanzia";Paritaria/equiparata;;"PIETRO GRIGOLLI";;"Piazza di S Anna, 3 38057";"PERGINE VALSUGANA";"0461 502351";;asifchimelli@pec.it;;;;
"Circolo di coordinamento n. 7";"Scuola dell'Infanzia di Grumo ""Il giardino del sole""";;"A carattere statale/provinciale";;;"LAURA BERTOLDI";"Via Marconi, 65/A 38098";"SAN MICHELE ALL'ADIGE";0461/650630;0461/494334;scuolainfanzia.grumo@scuole.provincia.tn.it;;circolo.coordinamento07@provincia.tn.it;;
"Circolo di coordinamento n. 10";"Scuola dell'Infanzia di Isera";;"A carattere statale/provinciale";;;"GINEVRA RELLA";"Vicolo Zandonai,   38060";ISERA;0464/437292;0464/493115;scuolainfanzia.isera@scuole.provincia.tn.it;;circolo.coordinamento10@provincia.tn.it;;
"Scuola dell'infanzia di Roncone  ""Mario Amistadi Sciavina ODV""";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Via Lucchi - Roncone, 1 38087";"SELLA GIUDICARIE";0465/311525;0465-901285;roncone.materna@associazionecoesi.com;;;;
"Circolo di coordinamento n. 1";"Scuola dell'infanzia di Daiano-Varena";;"A carattere statale/provinciale";;;"KATIA PEGORETTI";"Via Mercato - Varena, 22 38030";"VILLE DI FIEMME";0462/341301;0461/493495;scuolainfanzia.daianovarena@scuole.provincia.tn.it;;circolo.coordinamento01@provincia.tn.it;;
"Circolo di coordinamento n. 9";"Scuola dell'Infanzia di Tierno Mori  ""Il girasole""";;"A carattere statale/provinciale";;;"MILENA ENDRIZZI";"Via della Cooperazione, 20 38065";MORI;0464/917200;0464/493117;scuolainfanzia.tierno@scuole.provincia.tn.it;;circolo.coordinamento09@provincia.tn.it;;
"Scuola dell'infanzia di Tesero";"Scuola dell'Infanzia di Tesero";;Paritaria/equiparata;;;"TIZIANA CEOL";"Via Fia, 20 38038";TESERO;0462-813045;;tesero.presidente@fpsm.tn.it;;tesero.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Tesero";;"Scuola dell'infanzia";Paritaria/equiparata;;;"TIZIANA CEOL";"Via Fia, 20 38038";TESERO;0462-813045;;tesero.presidente@fpsm.tn.it;;tesero.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Roncone  ""Mario Amistadi Sciavina ODV""";"Scuola dell'Infanzia di Roncone  ""Mario Amistadi Sciavina ODV""";;Paritaria/equiparata;;;;"Via Lucchi - Roncone, 1 38087";"SELLA GIUDICARIE";" 0465/311525 ";0465-901285;roncone.materna@associazionecoesi.com;;;;
"Scuola dell'infanzia di Denno";"Scuola dell'Infanzia di Denno";;Paritaria/equiparata;;;"UTE PANCHER";"Via Ossanna, 3 38010";DENNO;0461-655960;;denno.segretario@fpsm.tn.it;;denno.segretario@fpsm.tn.it;;
"Circolo di coordinamento n. 11";"Scuola dell'Infanzia di Cavareno ""Peter Pan""";;"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Via Castelli, 1 38011";CAVARENO;0463/832426;0461/491940;scuolainfanzia.cavareno@scuole.provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 3";"Scuola dell'Infanzia di Trento Cristo Re ""Piccolo Principe""";;"A carattere statale/provinciale";;;"CHIARA NADALON";"Via Senesi, 3 38121";TRENTO;0461/824334;0461/497257;scuolainfanzia.cristore@scuole.provincia.tn.it;;circolo.coordinamento03@provincia.tn.it;;
"Circolo di coordinamento n. 9";"Scuola dell'Infanzia di Rovereto ""C. Battisti""";;"A carattere statale/provinciale";;;"MILENA ENDRIZZI";"Via Udine, 21 38068";ROVERETO;0464/431239;0464/493117;scuolainfanzia.battisti@scuole.provincia.tn.it;;circolo.coordinamento09@provincia.tn.it;;
"Circolo di coordinamento n. 11";;"Circolo di coordinamento pedagogico";"A carattere statale/provinciale";;;"SIMONETTA ERRIGO";"Via della Gana, 10 38027";MALE';0461/491939;0461/491940;circolo.coordinamento11@provincia.tn.it;;circolo.coordinamento11@provincia.tn.it;;
"Circolo di coordinamento n. 5";"Scuola dell'Infanzia di Trento Piedicastello";;"A carattere statale/provinciale";;;"MARTINA BASSETTI";"Via Dos Trento, 86 38122";TRENTO;0461/983539;0461/497257;scuolainfanzia.piedicastello@scuole.provincia.tn.it;;circolo.coordinamento05@provincia.tn.it;;
"Scuola dell'infanzia di Denno";;"Scuola dell'infanzia";Paritaria/equiparata;;;"UTE PANCHER";"Via Ossanna, 3 38010";DENNO;0461-655960;;denno.segretario@fpsm.tn.it;;denno.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Villa Lagarina";"Scuola dell'Infanzia di Villa Lagarina";;Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Via Monsignor Gosetti, 3 38060";"VILLA LAGARINA";0464-411101;;villalagarina.presidente@fpsm.tn.it;;villalagarina.segretario@fpsm.tn.it;;
"Scuola dell'infanzia di Villa Lagarina";;"Scuola dell'infanzia";Paritaria/equiparata;;;"ROBERTA MEDEGHINI";"Via Monsignor Gosetti, 3 38060";"VILLA LAGARINA";0464-411101;;villalagarina.presidente@fpsm.tn.it;;villalagarina.segretario@fpsm.tn.it;;
